anio,timestre,clave,salario,inpc_general,mexindpro
2001,1,1,120.5871084,65.64821,99.65866832
2001,2,1,125.7847062,66.31881,99.63357944
2001,3,1,126.6283833,66.97312,100.053331
2001,4,1,131.87822,68.06893,99.61450967
2002,1,1,136.2713246,68.54734,98.55714561
2002,2,1,138.3230733,69.61973,99.32485004
2002,3,1,140.5854475,70.61495,99.45769375
2002,4,1,142.4049858,71.58237,99.49988738
2003,1,1,143.254052,71.69377,100.7079991
2003,2,1,146.6770707,71.82963,99.84226644
2003,3,1,151.3023071,72.1526,98.64165685
2003,4,1,154.0310691,73.25435,101.4634522
2004,1,1,154.1119822,74.74526,104.3735571
2004,2,1,156.8398937,75.44052,102.9221253
2004,3,1,158.1296581,76.34996,104.2730928
2004,4,1,160.497258,77.99274,104.9995635
2005,1,1,164.4989436,78.40449,105.0543786
2005,2,1,166.9097551,79.26985,105.7389947
2005,3,1,168.6955144,79.82355,107.8074637
2005,4,1,171.6973424,80.41235,110.9397676
2006,1,1,174.3170922,81.7629,112.1336545
2006,2,1,175.8870721,82.48838,114.140797
2006,3,1,178.3210447,83.21797,113.2200485
2006,4,1,180.0634432,84.17206,112.9463419
2007,1,1,181.7828748,85.53688,116.283485
2007,2,1,183.7973725,85.88705,115.4359435
2007,3,1,185.3671472,86.84673,115.7224699
2007,4,1,187.3072665,87.77341,115.3218362
2008,1,1,190.4116094,88.3661,116.4028017
2008,2,1,193.2929811,89.45068,115.8726575
2008,3,1,195.0982451,90.87078,113.2364385
2008,4,1,198.2833371,92.26491,109.1938814
2009,1,1,198.5666949,93.21813,104.4461705
2009,2,1,196.8947454,94.56157,104.0040417
2009,3,1,199.6793066,95.34199,106.1386502
2009,4,1,202.0007714,95.03631,109.3413194
2010,1,1,203.9699702,97.10743,112.0859596
2010,2,1,205.3822585,97.41519,112.5118004
2010,3,1,206.680094,98.26155,113.4257218
2010,4,1,206.786843,99.2762,114.9106933
2011,1,1,208.7585356,100.08318,115.9944754
2011,2,1,212.4841092,100.49843,116.4620657
2011,3,1,215.5817123,101.08639,117.9813496
2011,4,1,218.3943067,102.17512,119.6225905
2012,1,1,221.2840867,103.83212,120.4963085
