x,y,z1,z2,z3,z4,z5
25,0,2.212296038,1.062960645,0.44921147,0.500819663,1
16,0,-2.168248545,-0.362939099,0.611840508,1.691256191,1
55,1,0.532087157,0.862834365,1.099727623,-0.600676204,0
15,0,-1.073112399,-0.337923314,1.424985699,0.471172777,0
34,0,0.562090887,-0.100273357,0.611840508,0.783605352,1
23,0,1.222172947,1.463213205,0.44921147,-0.805923881,0
25,0,-0.578050854,-0.250368067,0.286582431,-0.653128388,1
32,0,4.387566464,2.263718324,1.099727623,-0.45700283,1
37,0,0.307059182,1.78841841,-1.177078913,-0.509455014,0
32,0,1.687230763,2.138639399,-0.363933722,-0.762593816,1
31,0,1.807245683,1.18803957,-0.363933722,-0.327012634,0
27,1,0.157040531,2.451336712,0.123953393,0.395915295,1
15,0,-1.043108669,-0.763191659,0.774469546,-0.653128388,0
31,0,-0.803078829,0.274963418,-1.014449875,-0.201583498,0
54,0,-1.79320192,-0.375446991,0.123953393,-1.289396187,1
18,0,0.157040531,-0.300399636,0.611840508,0.425562182,0
80,0,3.367439644,0.412550236,1.424985699,-1.663403065,0
16,0,-1.49316462,1.938513119,2.400759929,0.425562182,0
29,0,0.007021881,3.301873401,0.123953393,0.450648009,1
13,0,-2.108241085,0.387534451,1.262356661,1.996847177,1
23,0,0.667103942,-0.650620626,1.262356661,-0.197022439,1
10,0,-1.9732243,-1.351062606,-0.52656276,2.001408236,0
11,0,-0.173000499,-0.412970669,1.424985699,5.454130271,0
23,0,-0.022981849,-0.100273357,0.937098584,0.181545499,0
11,0,-0.278013554,-0.150304927,-0.851820837,1.727744667,0
14,0,-0.593052719,0.912865935,0.286582431,1.130245873,0
27,0,0.982143107,1.963528904,1.587614737,0.395915295,1
18,0,-1.358147835,-0.100273357,2.400759929,-0.281402039,0
28,1,-0.758073234,-0.938302154,-0.201304684,-0.082995951,1
89,0,1.222172947,2.663970884,-0.851820837,-0.09895966,1
24,0,0.142038666,-0.112781249,-0.52656276,-0.206144558,0
16,0,2.227297903,0.612676515,-0.038675645,-0.466124949,0
23,0,-1.43315716,0.062329246,-0.363933722,-0.956438844,0
20,0,1.147163622,2.126131507,1.750243776,0.008225238,0
16,0,-0.563048989,-0.137797034,0.611840508,0.587479794,1
39,0,-1.28313851,-1.250999466,0.123953393,0.021908417,1
34,0,0.097033071,-0.150304927,0.123953393,-0.762593816,1
6,1,-0.968099344,-0.975825831,0.611840508,-1.462716448,0
6,1,-1.9732243,-1.100904756,0.611840508,-1.462716448,0
23,0,1.597219572,0.099852923,-0.52656276,-0.518577133,0
25,0,1.012146837,0.562644945,-0.851820837,-0.72382481,1
40,0,1.237174812,0.550137053,0.44921147,0.008225238,0
47,0,1.192169217,1.012929075,-0.689191798,-0.54822402,0
15,0,0.022023746,-0.337923314,-0.038675645,0.425562182,0
23,0,0.022023746,-0.412970669,-0.363933722,0.35258523,0
20,0,1.492206517,2.563907744,-0.689191798,-0.117203898,0
17,0,-1.73319446,1.125500108,1.262356661,1.805282678,1
42,0,2.182292308,1.825942087,1.750243776,-0.420514354,0
11,0,-0.413030339,-0.337923314,2.563388967,2.475758423,1
11,0,0.052027476,0.149884493,-0.689191798,0.092604839,1
32,0,-0.007979984,-0.463002239,2.400759929,-0.117203898,0
22,0,0.022023746,-0.062749679,-0.52656276,-0.739788518,1
13,0,-0.127994904,-0.800715336,1.424985699,0.585199264,0
19,0,-0.923093749,0.062329246,-0.851820837,-0.019141119,0
26,1,0.937137512,-0.225352282,-0.689191798,-1.640597768,1
24,0,0.937137512,-0.325415421,-1.014449875,-0.395428527,0
16,0,-1.028106804,-0.387954884,-1.014449875,-0.466124949,1
11,0,0.097033071,-0.200336497,-0.689191798,-0.114923368,0
25,1,-0.668062044,0.237439741,0.123953393,-1.011171558,0
26,0,1.117159892,0.124868708,0.937098584,0.243119802,1
15,0,0.262053587,-0.713160089,-0.851820837,-0.605237263,0
15,0,-0.353022879,-0.175320712,0.286582431,0.297852516,0
8,0,-1.448159025,0.600168623,1.099727623,0.370829468,0
13,1,0.742113267,-0.287891744,-0.52656276,0.468892247,0
37,0,-0.653060179,-0.012718109,1.262356661,-0.862937124,1
12,0,0.922135647,-0.300399636,0.937098584,0.046994244,0
21,0,-0.698065774,0.312487096,0.611840508,0.049274774,1
12,0,0.802120727,0.750263333,-0.201304684,-0.744349578,0
24,0,2.002269928,1.313118495,0.123953393,2.370854055,1
22,0,0.442075967,-0.387954884,-1.014449875,-1.246066122,0
50,0,3.577465754,2.026068367,0.44921147,-0.27227992,0
18,0,0.067029341,0.224931848,0.611840508,-0.90170613,0
21,0,1.282180407,0.412550236,-0.851820837,-0.653128388,0
55,1,2.872378098,2.926636626,-1.177078913,-0.842412357,1
30,0,0.937137512,0.800294903,2.563388967,-0.664531037,1
25,0,0.607096482,-0.312907529,1.587614737,-0.420514354,0
16,0,-0.668062044,2.313749894,1.750243776,1.805282678,0
14,0,-1.808203785,-1.338554713,-0.038675645,2.094909956,1
16,0,-0.503041529,-0.387954884,-0.52656276,-0.313329456,1
31,0,1.267178542,3.001683981,-0.52656276,-0.155972903,1
16,0,0.757115132,-0.112781249,0.774469546,3.216930591,0
22,0,0.112034936,0.375026558,-0.038675645,-1.070465331,0
19,0,1.432199057,0.912865935,0.123953393,-0.500332895,0
54,0,2.197294173,1.062960645,-0.201304684,0.792727471,1
31,0,-0.022981849,1.475721097,-0.52656276,2.370854055,1
19,0,-0.413030339,-0.312907529,-0.038675645,-0.942755666,1
87,0,-0.623056449,-0.763191659,-0.363933722,-0.283682569,1
13,0,-0.263011689,-0.463002239,-0.038675645,0.07892166,0
23,0,-0.473037799,-0.100273357,0.44921147,1.570388114,0
25,0,0.022023746,-0.337923314,0.123953393,-0.90170613,0
68,0,1.687230763,-0.500525916,-0.363933722,-0.36806217,0
10,0,-0.968099344,-0.237860174,1.587614737,-0.753471697,0
20,0,1.447200922,0.575152838,-0.52656276,-0.63488415,0
20,0,-0.923093749,0.062329246,0.286582431,0.395915295,0
12,0,-0.878088154,-0.000210217,0.44921147,-0.561907198,1
35,1,0.292057317,-0.037733894,-0.038675645,-0.90170613,1
17,0,0.637100212,-0.262875959,-0.201304684,-0.089837541,1
20,0,-1.748196325,1.73838684,2.075501852,2.475758423,0
76,0,-0.127994904,0.58766073,0.611840508,0.487136485,0
42,0,0.877130052,0.387534451,2.888647044,1.702658839,1
14,0,-0.698065774,1.500736882,2.238130891,2.475758423,0
17,0,-0.413030339,0.350010773,0.774469546,7.388019496,1
46,1,0.382068507,0.375026558,1.424985699,-0.81276547,1
86,0,0.502083427,0.83781858,-0.52656276,-1.113795397,1
37,0,1.492206517,-0.112781249,-0.52656276,0.046994244,0
16,0,0.922135647,-0.087765464,-0.851820837,-0.078434892,1
16,0,-1.328144105,-0.838239014,-0.52656276,2.897656426,1
14,0,0.337062912,-0.387954884,-1.014449875,0.117690666,1
21,0,0.232049857,0.024805568,2.400759929,0.224875564,0
19,1,-0.488039664,-0.500525916,-1.014449875,-0.197022439,1
22,0,0.172042396,0.024805568,-0.201304684,0.040152655,0
22,1,2.467327743,0.88785015,-0.851820837,-0.552785079,1
15,0,0.622098347,-0.025226002,-0.363933722,-0.27684098,1
18,0,0.442075967,2.163655184,0.611840508,1.666170364,1
13,0,-0.668062044,-0.750683766,-1.014449875,-0.641725739,1
20,0,0.622098347,0.199916063,-0.038675645,0.694664692,0
19,0,0.382068507,0.525121268,-0.201304684,-0.352098461,0
19,0,-0.218006094,-0.250368067,-0.52656276,-0.614359382,1
15,0,0.412072237,-0.675636411,2.075501852,0.774483233,0
24,0,0.172042396,-0.963317939,-0.851820837,-0.035104827,1
15,0,-0.248009824,0.675215978,0.286582431,-0.345256872,1
15,0,2.242299768,0.224931848,-0.038675645,-0.27227992,0
20,0,-0.938095614,0.362518666,0.774469546,0.35258523,1
40,0,-0.022981849,0.062329246,-0.851820837,-0.532260311,1
41,0,0.217047992,3.864728563,2.400759929,-0.596115144,0
49,0,1.132161757,0.562644945,1.099727623,0.138215434,0
